1,SB 140,1642019870265,1642019870265,1,1
2,HB 102,1642019870265,1642019870265,1,1
3,HB 112,1642019870265,1642019870265,1,1
4,HB 349,1642019870265,1642019870265,1,1
5,SB 319,1642019870265,1642019870265,1,1
6,HB 325,1642019870265,1642019870265,1,1
7,HB 136,1642019870265,1642019870265,1,1
8,HB 171,1642019870265,1642019870265,1,1
9,HB 140,1642019870265,1642019870265,1,1
10,HB 229,1642019870265,1642019870265,1,1
11,HB 176,1642019870265,1642019870265,1,1
12,SB 169,1642019870265,1642019870265,1,1
13,HB 530,1642019870265,1642019870265,1,1
14,SB 280,1642019870265,1642019870265,1,1
15,HB 506,1642019870265,1642019870265,1,1
16,HB 702,1642019870265,1642019870265,1,1
17,SB 265,1642019870265,1642019870265,1,1
18,SB 266,1642019870265,1642019870265,1,1